id,ano,cidade,uf,data_inicio,data_fim,local,tema,veiculo,id_tipo_veiculo
2130,2017,,,,,,,International Conference on Information Integration and Web-based Applications &amp; Services (iiWAS),2
2131,2018,,,,,,,International Conference on Information Systems and Technology Management,2
2132,2018,,,,,,,International Conference on Principles and Practice of Constraint Programming Workshop on Constraints and AI Planning,2
2133,2013,,,,,,,International Conference on Scientific and Statistical Database Management,2
2134,2009,,,,,,,International Conference on Software Engineering and Knowledge Engineering,2
2135,2017,,,,,,,International Conference on Software Engineering and Knowledge Engineering,2
2136,2009,,,,,,,International Conference on Software Engineering and Knowledge Engineering,2
2137,2014,,,,,,,International Conference on Web Engineering,2
2138,1994,,,,,,,International IFIP WG 10.5 Working Conference on Eletronic Design Automation Frameworks,2
2139,2002,,,,,,,International Institute of Informatics and Systemics (IIIS),2
2140,2020,,,,,,,INTERNATIONAL JOURNAL FOR INNOVATION EDUCATION AND RESEARCH,1
2141,2012,,,,,,,International Journal for Uncertainty Quantification,1
2142,2013,,,,,,,International Journal of Agricultural and Environmental Information Systems,1
2143,2018,,,,,,,International Journal of Artificial Intelligence and Applications,1
2144,2010,,,,,,,International Journal of Business Process Integration and Management (Print),1
2145,2020,,,,,,,INTERNATIONAL JOURNAL OF COMPUTER APPLICATIONS,1
2146,2015,,,,,,,International Journal of Computer Applications,1
2147,2010,,,,,,,International Journal of Computer Applications,1
2148,2012,,,,,,,International Journal of Distributed Systems and Technologies,1
2149,2014,,,,,,,International Journal of Environment and Sustainable Development,1
2150,2018,,,,,,,"International Journal of Environmental Impacts: Management, Mitigation and Recovery",1
2151,2019,,,,,,,International Journal of Environmental Studies,1
2152,2020,,,,,,,International Journal of Grid and Utility Computing,1
2153,2018,,,,,,,International Journal of Grid and Utility Computing,1
2154,2019,,,,,,,International Journal of Grid and Utility Computing,1
2155,2017,,,,,,,International Journal of Grid and Utility Computing,1
2156,2020,,,,,,,International Journal of Grid and Utility Computing,1
2157,2019,,,,,,,International Journal of Grid and Utility Computing (IJGUC),1
2158,2009,,,,,,,International Journal of High Performance Systems Architecture (Print),1
2159,2015,,,,,,,International Journal of Information and Communication Technology Education,1
2160,2014,,,,,,,International Journal of Information and Communication Technology Education,1
2161,2015,,,,,,,International Journal of Knowledge Engineering and Management,1
2162,2010,,,,,,,"International Journal of Metadata, Semantics and Ontologies (Print)",1
2163,2012,,,,,,,International Journal of Multimedia Technology,1
2164,2019,,,,,,,International Journal of Network Management,1
2165,2013,,,,,,,International journal of nursing knowledge,1
2166,2014,,,,,,,"International Journal of Recent Contributions from Engineering, Science &amp;amp; IT (iJES)",1
2167,2015,,,,,,,International Journal of Semantic Computing,1
2168,2019,,,,,,,INTERNATIONAL JOURNAL OF SOFTWARE ENGINEERING AND KNOWLEDGE ENGINEERING,1
2169,2019,,,,,,,INTERNATIONAL JOURNAL OF SOFTWARE ENGINEERING AND KNOWLEDGE ENGINEERING,1
2170,2015,,,,,,,International Journal of Sustainable Development and Planning: encouraging the unified approach to achieve sustainability,1
2171,2014,,,,,,,INTERNATIONAL JOURNAL OF WEB BASED COMMUNITIES (PRINT),1
2172,2019,,,,,,,INTERNATIONAL JOURNAL OF WEB ENGINEERING AND TECHNOLOGY,1
2173,2017,,,,,,,INTERNATIONAL JOURNAL OF WEB INFORMATION SYSTEMS (PRINT),1
2174,2012,,,,,,,International Journal of Web Information Systems (Print),1
2175,2012,,,,,,,International Journal of Web Information Systems (Print),1
2176,2016,,,,,,,International Journal of Web Information Systems (Print),1
