evento journal,cluster id,confidence
anais,62,0.4486717591790633
anais,62,0.4486717591790633
anais,62,0.4486717591790633
anais,62,0.4486717591790633
anais,62,0.4486717591790633
anais,62,0.4486717591790633
anais,62,0.4486717591790633
anais,62,0.4486717591790633
anais,62,0.4486717591790633
anais,62,0.4486717591790633
anais,62,0.4486717591790633
anais,62,0.4486717591790633
anais,62,0.4486717591790633
anais,62,0.4486717591790633
anais - i simposio brasileiro de sistemas de informacao,684,1.0
anais - simposio luso-brasileiro de engenharia sanitaria e ambiental,685,1.0
anais - volume 01 - 9a reuniao de estudos ambientaos,686,1.0
anais . . .,62,0.24200043612230582
anais . . .,62,0.24200043612230582
anais . . .,62,0.24200043612230582
anais ...,62,0.316781528298024
anais ... simposio brasileiro de engenharia ambiental,63,0.49453108255427447
anais ... simposio brasileiro de engenharia ambiental,63,0.49453108255427447
anais ... simposio brasileiro de engenharia ambiental,63,0.49453108255427447
anais ... simposio brasileiro de engenharia ambiental,63,0.49453108255427447
anais ... simposio brasileiro de engenharia ambiental,63,0.49453108255427447
anais / i escola regional de banco de dados,687,1.0
anais / ii escola regional de banco de dados - erbd 2006,64,0.41130626443143115
anais / iii escola regional de banco de dados - erbd 2007,64,0.40155606036750113
anais 14 enasb - silubesa,65,0.47845774768158134
anais 14 enasb - silubesa,65,0.47845774768158134
anais 14 enasb - silubesa,65,0.47845774768158134
anais 14 enasb - silubesa - resumos,65,0.47845774768158134
anais 14 enasb - silubesa - resumos,65,0.47845774768158134
anais 14 enasb - silubesa - resumos,65,0.47845774768158134
anais 25a jai,66,0.4945310950279236
anais 25a jai,66,0.4945310950279236
anais 34o seminario de extensao universitaria da regiao sul,688,1.0
anais 6a moepex,689,1.0
anais ambientur 2013,690,1.0
anais congrega urcamp 2011,691,1.0
"anais da 13a mostratec: mostra de ensino, pesquisa e extensao do ifrs - campus porto alegre",692,1.0
anais da 13a. escola regional de alto desempenho do estado do rio grande do sul (erad-rs 2013),67,0.31338555842846705
anais da 14a. escola regional de alto desempenho do estado do rio grande do sul,67,0.30654716226155043
anais da 16a escola regional de redes de computadores (errc),693,1.0
"anais da 19a mostra de ensino, pesquisa e extensao ifrs campus porto alegre",68,0.40044569833794075
anais da 1a conferencia internacional de sustentabilidade e inovacao,694,1.0
anais da 1a escola nanomundo,695,1.0
anais da 27a jornada academica integrada,82,0.3998965829329605
anais da 28a jornada academica integrada,82,0.3998965829329605
anais da 29a. jornada academica integrada da ufsm,82,0.34031364792189245
anais da 2a conferencia iberica de sistemas e tecnologias de informacao,696,1.0
anais da 2a seac,697,1.0
"anais da 2a. mostra de iniciacao cientifica e 2a. jornada de pos-graduacao, pesquisa e extensao",69,0.2261824735506841
"anais da 2a. mostra de iniciacao cientifica e 2a. jornada de pos-graduacao, pesquisa e extensao",69,0.2261824735506841
"anais da 2a. mostra de iniciacao cientifica e 2a. jornada de pos-graduacao, pesquisa e extensao",69,0.2261824735506841
anais da 32a jornada academica integrada,82,0.40602381731162285
anais da 32a jornada academica integrada,82,0.40602381731162285
anais da 34a jornada academica integrada,82,0.40019738642691816
anais da 5a reuniao de estudos ambientais,70,0.4557744855750778
anais da 6a moepex,71,0.49453108255427447
anais da 6a moepex,71,0.49453108255427447
"anais da 6a mostra de ensino, pesquisa e extensao",68,0.40044569833794075
anais da 7a moepex,83,0.49453108255427447
anais da 7a moepex,83,0.49453108255427447
anais da 7a moepex,83,0.49453108255427447
anais da 7a moepex,83,0.49453108255427447
anais da 7a moepex,83,0.49453108255427447
anais da 7a moepex,83,0.49453108255427447
anais da 8a moepex,84,0.49453108255427447
anais da 8a moepex,84,0.49453108255427447
anais da 8a moepex,84,0.49453108255427447
anais da 8a moepex,84,0.49453108255427447
anais da 8a moepex,84,0.49453108255427447
anais da 8a moepex,84,0.49453108255427447
anais da 8a moepex,84,0.49453108255427447
anais da 8a moepex,84,0.49453108255427447
anais da 8a moepex,84,0.49453108255427447
anais da 9a reuniao de estudos ambientais,70,0.4557744855750778
anais da 9a. escola reginal de alto desempenho,67,0.3334214360616429
anais da academia brasileira de ciencias,698,1.0
anais da conferencia ibero americana computacao aplicada 2013,85,0.49453108255427447
anais da conferencia ibero americana computacao aplicada 2013,85,0.49453108255427447
anais da conferencia web w3c brasil,699,1.0
anais da erbd 2006,86,0.4070808803334762
anais da erbd 2008,86,0.40488714059672315
anais da erbd 2008,86,0.40488714059672315
anais da erbd 2016,86,0.3513076853933411
anais da escola regional de banco de dados,72,0.38802703421808515
anais da escola regional de banco de dados,72,0.38802703421808515
anais da escola regional de banco de dados,72,0.38802703421808515
anais da escola regional de banco de dados,72,0.38802703421808515
anais da escola regional de banco de dados (erbd),72,0.30200187562092795
anais da escola regional de banco de dados (trilha: aplicacoes/experiencias),72,0.2840413277572198
anais da escola regional de banco de dados (trilha: aplicacoes/experiencias),72,0.2840413277572198
anais da escola regional de banco de dados 2010,72,0.29995204409721
anais da escola regional de banco de dados-erbd2005,72,0.2887863853934013
anais da i escola regional de banco de dados,72,0.39726812762030494
anais da i escola regional de sistemas de informacao rj (ersi-rj 2014),700,1.0
anais da i jornada de bioinformatica do rio de janeiro,701,1.0
anais da i jornada de pos-graduacao e iniciacao cientifica,73,0.49453108255427447
anais da i jornada de pos-graduacao e iniciacao cientifica,73,0.49453108255427447
anais da i jornada de pos-graduacao e iniciacao cientifica,73,0.49453108255427447
anais da i jornada de pos-graduacao e iniciacao cientifica,73,0.49453108255427447
anais da i mopex mostra de pesquisa e extensao do ifrs - campus ibiruba,702,1.0
anais da i sessao de ferramentas do sbbd,703,1.0
anais da ii escola regional de alto desempenho do rio de janeiro,67,0.32452969363825235
anais da ii escola regional de alto desempenho do rio de janeiro,67,0.32452969363825235
anais da ii escola regional de alto desempenho do rio de janeiro,67,0.32452969363825235
anais da ii escola regional de banco de dados,72,0.4080018582686652
anais da ii escola regional de banco de dados,72,0.4080018582686652
anais da ii escola regional de banco de dados,72,0.4080018582686652
